"plot.id","block","NDVI_year","growing_season_mean_NDVI","NuSEDS_survey_year","sockeye_abundance","combined_salmon_abundance","pulse_year","summer_mean_temp","summer_total_precip","distance_from_bank","elevation_change","metres_downstream","satellite","sockeye_abundance_scaled","combined_salmon_abundance_scaled","summer_mean_temp_scaled","summer_total_precip_scaled","elevation_change_scaled","metres_downstream_scaled"
"C1","1N",1984,0.6833183261,1983,201669,205669,"no",15.8141304347826,120.6,"CLOSE",7,481,"LANDSAT5",-0.342561279482894,-0.347647175549057,-1.39961707858539,0.139821612271781,0.0717956702918561,-1.32259429514771
"F48","33N",1984,0.739017112,1983,201669,205669,"no",15.8141304347826,120.6,"FAR",6,3794,"LANDSAT5",-0.342561279482894,-0.347647175549057,-1.39961707858539,0.139821612271781,-0.073710221499639,-0.0505021413619491
"F14","4S",1984,0.7645292127,1983,201669,205669,"no",15.8141304347826,120.6,"FAR",1,1628,"LANDSAT5",-0.342561279482894,-0.347647175549057,-1.39961707858539,0.139821612271781,-0.801239680457114,-0.882180863094503
"F63","46N",1984,0.7300706163,1983,201669,205669,"no",15.8141304347826,120.6,"FAR",16,6851,"LANDSAT5",-0.342561279482894,-0.347647175549057,-1.39961707858539,0.139821612271781,1.38134869641531,1.1232937276761
"F71","28S",1984,0.7646622233,1983,201669,205669,"no",15.8141304347826,120.6,"FAR",5,8473,"LANDSAT5",-0.342561279482894,-0.347647175549057,-1.39961707858539,0.139821612271781,-0.219216113291134,1.74609284431978
"F47","32N",1984,0.7437123149,1983,201669,205669,"no",15.8141304347826,120.6,"FAR",8,3692,"LANDSAT5",-0.342561279482894,-0.347647175549057,-1.39961707858539,0.139821612271781,0.217301562083351,-0.0896670673161137
"C82","32S",1984,0.584517956666667,1983,201669,205669,"no",15.8141304347826,120.6,"CLOSE",1,9284,"LANDSAT5",-0.342561279482894,-0.347647175549057,-1.39961707858539,0.139821612271781,-0.801239680457114,2.05749240264162
"F54","35N",1984,0.7779569153,1983,201669,205669,"no",15.8141304347826,120.6,"FAR",2,4808,"LANDSAT5",-0.342561279482894,-0.347647175549057,-1.39961707858539,0.139821612271781,-0.655733788665619,0.338843299005922
"F70","27S",1984,0.7584043549,1983,201669,205669,"no",15.8141304347826,120.6,"FAR",3,8357,"LANDSAT5",-0.342561279482894,-0.347647175549057,-1.39961707858539,0.139821612271781,-0.510227896874124,1.70155234029347
"F46","31N",1984,0.7223235543,1983,201669,205669,"no",15.8141304347826,120.6,"FAR",13,3599,"LANDSAT5",-0.342561279482894,-0.347647175549057,-1.39961707858539,0.139821612271781,0.944831021040826,-0.125376264509617
